2026-08-09 03:26:21 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room f9f0f400.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-f9f0f400","roomPrice":175,"type":"Double"}
2026-08-09 03:26:22 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=233.6 | headers={"CF-RAY":"a283a8aa8cadedc5-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:26:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=pAp0mm6jVtgJqWbSh72ewze%2BNJ4T%2F0UNvvggQ7dC9S1qn5dwJ9WCuIPsOb7436endEJyzM7V8wSG5T0baV7oe1aEBw5BAGJRSpGgDWj5uLu0qmtS%2FeracdYkNtQvk96tGCEajSqXrlRu%2FTNlfQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"Jo4AKVZnTEGBZjOY6WHkDg"} | body={"success":true}
2026-08-09 03:26:22 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-09 03:26:22 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=400.0 | headers={"CF-RAY":"a283a8ac28b39991-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:26:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=JFwlvK%2FFrWEPKblECdTDSD94Ul4oFNZallSfPXucRT%2BWDal5JjDbD7PhdquxMj5QaGkUqDfRgZ3DrTAr%2BaCCxq4g%2F40wdx8SJvIq26Rf%2F09xGgoX3Bi3QakRfIF4tHKBMuKsJM0Up9N8%2BulTiA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"CFk8-MKNTAmSBmNYYqVb7A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room f9f0f400.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-f9f0f400","roomPrice":175,"roomid":16,"type":"Double"}]}
2026-08-09 03:26:22 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-10-08","checkout":"2026-10-10"},"depositpaid":false,"email":"api.44bd0004@example.com","firstname":"Api","lastname":"Guest44bd0004","phone":"01234567890","roomid":16}
2026-08-09 03:26:22 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=369.8 | headers={"CF-RAY":"a283a8ae7d269991-ORD","Connection":"keep-alive","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:26:22 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=rGfxNtXVs42fh4EYUoaUPRA0HD0qXFHrS8BciWsdAJUkdJqhpEC%2Bye7NVBvWtulhBHqPy5f21FLL3MoPoDuVKTHuuFXZ8d6cUi3HP%2FaMCv0DhmKqXNq6St0LALs5Ws4qiiouzzoEvG0TKd7D4w%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"ZzWvpUZ2ShiZWG2B9o6EoQ"} | body={"bookingdates":{"checkin":"2026-10-08","checkout":"2026-10-10"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest44bd0004","roomid":16}
2026-08-09 03:26:22 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":16} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-08-09 03:26:23 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=16 | status=200 | elapsed_ms=223.3 | headers={"CF-RAY":"a283a8b0cceeedc5-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:26:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=KBAYFaD8Qfytcd4Vu4MElPi2FFmgLCnnrOo%2FyGUBQt028GGy910uipdA66A9ZLYP18oseBJWQregb4OCy1ZJNAnOTzAkfQ%2FKNqgeYvVPV2UQPKaDWwUx%2FLmN3XAxcSNadAeYRMCnATF1j5oBEA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.x8wt","x-railway-edge":"ord1","x-railway-request-id":"OvyjI1qQTXKhvRgW6WHkDg"} | body={"bookings":[{"bookingdates":{"checkin":"2026-10-08","checkout":"2026-10-10"},"bookingid":9,"depositpaid":false,"firstname":"Api","lastname":"Guest44bd0004","roomid":16}]}
2026-08-09 03:26:23 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={"checkin":"2026-10-08","checkout":"2026-10-10"} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-08-09 03:26:23 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room?checkin=2026-10-08&checkout=2026-10-10 | status=200 | elapsed_ms=248.0 | headers={"CF-RAY":"a283a8b23bb99991-ORD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Sun, 09 Aug 2026 03:26:23 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=uYgW8v2n6cKN1wUzxC5YRdjYasnfo2Dhl5E8yfed6xURDMklKnrByRg8CUUNpGBYF0nEAJSZV%2BMDYty%2FuLlVHnoP1%2FurAY%2FpGUevx6x0ZVMJ8qNTHWyozBJu5SYyb6soYQil4glLr4otMC4TpA%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"ord1.zmv5","x-railway-edge":"ord1","x-railway-request-id":"q4eoi0kuQSyaB8InYqVb7A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"}]}
2026-08-09 03:26:23 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/9 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
