2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={"accessible":true,"description":"Automated API lifecycle room fa800209.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-fa800209","roomPrice":175,"type":"Double"}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=204.0 | headers={"CF-RAY":"a34a8644effad6ed-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 02 Sep 2026 06:40:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=%2FkgyKIYSe3jNmKun01iyRQgYrvsBZ7fV3geqSbcfzfxWs9U99KK0ZBoMIt53Jyn3ZW7lMFntT27eI3C6fwonLXB7o1aH8xovRDZ1qkQTM2ERXVxN6gyPzcdyhmxPQoACMbliKpcU%2B19bWSSZVQ%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.trg5","x-railway-edge":"iad1","x-railway-request-id":"gtRRQo1pRv6YphmawoOzXw"} | body={"success":true}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/room | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/room | status=200 | elapsed_ms=226.9 | headers={"CF-RAY":"a34a86465e8d77fd-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 02 Sep 2026 06:40:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=6HXXoSENWx9BxZEBemYFPQd60I5SyjlPSJP%2FEVmOcik2Kgp%2Fy3fj6VzksQePr9hMcBfN3tSp3iH2Yad4brNer7IHI0A61DkAX8qYtQiO%2BPXfFTG2AwQUkjtk35%2F0UQ4jHvt%2FHfrbI9f0GX46wg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"6cWrGMXHT6mdYVElqmzx2A"} | body={"rooms":[{"accessible":true,"description":"Aenean porttitor mauris sit amet lacinia molestie. In posuere accumsan aliquet. Maecenas sit amet nisl massa. Interdum et malesuada fames ac ante.","features":["TV","WiFi","Safe"],"image":"/images/room1.jpg","roomName":"101","roomPrice":100,"roomid":1,"type":"Single"},{"accessible":true,"description":"Vestibulum sollicitudin, lectus ac mollis consequat, lorem orci ultrices tellus, eleifend euismod tortor dui egestas erat. Phasellus et ipsum nisl. ","features":["TV","Radio","Safe"],"image":"/images/room2.jpg","roomName":"102","roomPrice":150,"roomid":2,"type":"Double"},{"accessible":true,"description":"Etiam metus metus, fringilla ac sagittis id, consequat vel neque. Nunc commodo quis nisl nec posuere. Etiam at accumsan ex. ","features":["Radio","WiFi","Safe"],"image":"/images/room3.jpg","roomName":"103","roomPrice":225,"roomid":3,"type":"Suite"},{"accessible":true,"description":"Automated API lifecycle room fa800209.","features":["TV","WiFi","Safe"],"image":"/images/room2.jpg","roomName":"api-fa800209","roomPrice":175,"roomid":9,"type":"Double"}]}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP request | method=POST | url=https://automationintesting.online/api/booking | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","Content-Type":"application/json","User-Agent":"python-requests/2.34.2"} | cookies={} | body={"bookingdates":{"checkin":"2026-11-01","checkout":"2026-11-03"},"depositpaid":false,"email":"api.4227b1b4@example.com","firstname":"Api","lastname":"Guest4227b1b4","phone":"01234567890","roomid":9}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP response | method=POST | url=https://automationintesting.online/api/booking | status=201 | elapsed_ms=105.7 | headers={"CF-RAY":"a34a8647996d77fd-IAD","Connection":"keep-alive","Content-Type":"application/json","Date":"Wed, 02 Sep 2026 06:40:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=BM1U63t2utGjcSQ31CDJ8H5BZo6P8I1efnzAAaUYMZGjqUv0f2aHBf6Q7CKRfoEqL51I4up52CdKeoXin2w00NvHROwDvvuUm2FC%2B89zG5vqu3yCd%2FEClhUPegEQTNo9W%2Bz7nAzXo2cXRG15Jg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"40znovGDTSCXlqRpH4GxDA"} | body={"bookingdates":{"checkin":"2026-11-01","checkout":"2026-11-03"},"bookingid":7,"depositpaid":false,"firstname":"Api","lastname":"Guest4227b1b4","roomid":9}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking | params={"roomid":9} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking?roomid=9 | status=200 | elapsed_ms=110.7 | headers={"CF-RAY":"a34a86484f14d6ed-IAD","Connection":"keep-alive","Content-Encoding":"gzip","Content-Type":"application/json","Date":"Wed, 02 Sep 2026 06:40:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=5jD3jddo%2FqQGchKTxMTyOyhTVkIVyb2vpBo5%2FC7SM0DrjQhc490X%2FZw0t7WGJGnDXvcnpNjSZfExOek9AkBHY40ILksKDI7IPcEFSAl74FlC7OlWpzWXVt5MyAkyn%2BCI5Tr2sSP70AZoRDIvzg%3D%3D\"}]}","Server":"cloudflare","Transfer-Encoding":"chunked","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","vary":"rsc, next-router-state-tree, next-router-prefetch, next-router-segment-prefetch","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"eevHyu-2TBeXEWM1H4GxDA"} | body={"bookings":[{"bookingdates":{"checkin":"2026-11-01","checkout":"2026-11-03"},"bookingid":7,"depositpaid":false,"firstname":"Api","lastname":"Guest4227b1b4","roomid":9}]}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP request | method=GET | url=https://automationintesting.online/api/booking/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={} | body={}
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP response | method=GET | url=https://automationintesting.online/api/booking/7 | status=403 | elapsed_ms=112.7 | headers={"CF-RAY":"a34a8648fc7277fd-IAD","Connection":"keep-alive","Content-Length":"0","Date":"Wed, 02 Sep 2026 06:40:39 GMT","Nel":"{\"report_to\":\"cf-nel\",\"success_fraction\":0.0,\"max_age\":604800}","Report-To":"{\"group\":\"cf-nel\",\"max_age\":604800,\"endpoints\":[{\"url\":\"https://a.nel.cloudflare.com/report/v4?s=R6S0T3TwIs3U2mliWV8sjTs5tuGKwZkPeuKbsek31Z1wZ3XCyOr9%2BUnTmpVCLDnMDoR7wFIylfGLnVaHa%2F4NTJLZUytzqHt3f%2BMx%2BAB%2BMrtf5eEEW6k6uISYRPsjmBzTvcc1pD4qvFMPy2qlSg%3D%3D\"}]}","Server":"cloudflare","alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","x-hikari-trace":"iad1.fp5t","x-railway-edge":"iad1","x-railway-request-id":"jfQMuVx8RR6hM8Beqmzx2A"} | body=<empty>
2026-09-02 06:40:39 | INFO     | restful_booker.api.http | HTTP request | method=DELETE | url=https://automationintesting.online/api/booking/7 | params={} | headers={"Accept":"application/json","Accept-Encoding":"gzip, deflate","Connection":"keep-alive","User-Agent":"python-requests/2.34.2"} | cookies={"token":"<redacted>"} | body={}
